,Asan,Benefit1,Benefit2,preprocessed_benefit1,preprocessed_benefit2,label_ids
1737,vajrasana,Helps in maintaining good posture.,Heals Body,helps maintaining good posture,heals body,12
1738,virasana,Spine gets its maximum stretch,This pose with the flexing of the knees and the hips help in therapeutically curing rheumatic pains in the knees.,spine gets maximum stretch,pose flexing knees hips help therapeutically curing rheumatic pains knees,14
1739,ushtrasana,"This asana is beneficial for the digestive and reproductive systems. It stretches the stomach and intestines, alleviating constipation.",The expansion of the diaphragm is beneficial for respiration.,asana beneficial digestive reproductive systems stretches stomach intestines alleviating constipation,expansion diaphragm beneficial respiration,6
1740,parsvakonasana,Its benefits you back and help to treat back pain problem.,"works the quadriceps, hamstrings, and glutes, helping to strengthen and tone the legs.",benefits back help treat back pain problem,works quadriceps hamstrings glutes helping strengthen tone legs,44
1741,parighasana,helps increase the immunity of the body in various ways.,"stimulates the lymphatic system as one moves the arm overhead, as the armpit houses lymph nodes, which play an integral part in the body's immunity. ",helps increase immunity body various ways,stimulates lymphatic system one moves arm overhead armpit houses lymph nodes play integral part bodys immunity,31
1742,utkata konasana,It builds strength and stability within the lower body and a strong base for the hips and spine.,Utkatasana tones the core muscles by tightening the abdominal muscles while holding the pose. Creating a tummy tuck while bringing the navel close to the spine tightens the abdominal muscles bringing strength and stimulating the digestive system.,builds strength stability within lower body strong base hips spine,utkatasana tones core muscles tightening abdominal muscles holding pose creating tummy tuck bringing navel close spine tightens abdominal muscles bringing strength stimulating digestive system,25
1743,gomukhasana,It alleviates cramp in the legs and makes the leg muscles supple.,It helps to develop the chest.,alleviates cramp legs makes leg muscles supple,helps develop chest,10
1744,setu bandhasana,"very effective for Core strengthening and hence can be practised by athletes, runners, postnatal women and teens",Relieves lower back pain: Setu Bandhasana can help to relieve lower back pain by stretching and releasing tension in the lower back muscles.,effective core strengthening hence practised athletes runners postnatal women teens,relieves lower back pain setu bandhasana help relieve lower back pain stretching releasing tension lower back muscles,18
1745,mayurasana,This asana stimulates the metabolic processes which increase secretions from different glands.,"Better and improved circulation of blood when you release from the pose, while also stimulating the internal organs and eliminating the toxins.",asana stimulates metabolic processes increase secretions different glands,better improved circulation blood release pose also stimulating internal organs eliminating toxins,42
1746,pavanamuktasana,"can help to relieve bloating, gas, and other digestive discomforts by stimulating the digestive organs and releasing trapped gas.",The pushing of the knees towards the chest is an action which moderately opens the hip joints and simultaneously tones the glutes.,help relieve bloating gas digestive discomforts stimulating digestive organs releasing trapped gas,pushing knees towards chest action moderately opens hip joints simultaneously tones glutes,20
1747,naukasana,can help to increase spinal flexibility and mobility.,It is also useful for women preparing for childbearing and may be practised during the second trimester of pregnancy.,help increase spinal flexibility mobility,also useful women preparing childbearing may practised second trimester pregnancy,43
1748,bananasana,the complete side muscles of the body are stretched.,"Breathing slow and deep helps to keep the balance and alignment of the body, which again can only be achieved with awareness.",complete side muscles body stretched,breathing slow deep helps keep balance alignment body achieved awareness,19
1749,mandukasana,helps diabetes.,The expansion of the chest and the contraction of the abdominal muscles plays a great role in toning of the shoulders.,helps diabetes,expansion chest contraction abdominal muscles plays great role toning shoulders,16
1750,ushtrasana,The posture is improved.,Stretches and opens the front of the body. It also strengthens the back and shoulders.,posture improved,stretches opens front body also strengthens back shoulders,6
1751,padmasana,helps diabetes.,The normally large blood flow to the legs is redirected to the abdominal region.,helps diabetes,normally large blood flow legs redirected abdominal region,1
1752,makarasana,helps diabetes.,can help to stimulate digestion and relieve digestive issues such as bloating and constipation.,helps diabetes,help stimulate digestion relieve digestive issues bloating constipation,47
1753,dhanurasana,can help to calm the mind and reduce stress and anxiety.,"Improves lung function, can help to expand the chest and lungs, which can be beneficial for overall lung function and respiratory health.",help calm mind reduce stress anxiety,improves lung function help expand chest lungs beneficial overall lung function respiratory health,28
1754,vajrasana,"It increases the efficiency of the entire digestive system, relieving stomach ailments such as hyperacidity and peptic ulcer.","as the spine is elevated and away from the floor, the flow of blood is altered along with the nervous impulses in the pelvic region and pelvic muscles are strengthened.",increases efficiency entire digestive system relieving stomach ailments hyperacidity peptic ulcer,spine elevated away floor flow blood altered along nervous impulses pelvic region pelvic muscles strengthened,12
1755,ardha kapotasana,it gives room for better blood flow and energy stimulating and improving the functioning of the reproductive organs,"The endocrine system which includes the pineal gland, pituitary gland, thyroid gland, adrenal gland and pancreas, gets stimulated with the deep stretch at the head, neck, chest and abdomen.",gives room better blood flow energy stimulating improving functioning reproductive organs,endocrine system includes pineal gland pituitary gland thyroid gland adrenal gland pancreas gets stimulated deep stretch head neck chest abdomen,0
1756,ardha matsyendrasana,It activates the pancreas and helps to manage diabetes.,Aids in maintaining normal rotation of the spinal cord.,activates pancreas helps manage diabetes,aids maintaining normal rotation spinal cord,4
1757,mandukasana,Relieves menstrual cramps: Mandukasana can help to relieve menstrual cramps and other menstrual discomforts.,Stretches the hips and groin: Mandukasana can help to stretch and release tension in the hips and groin muscles.,relieves menstrual cramps mandukasana help relieve menstrual cramps menstrual discomforts,stretches hips groin mandukasana help stretch release tension hips groin muscles,16
1758,ardha chakrasan,This asana helps improve your lung capacity.,Ardha Chakrasana helps back and spine muscles,asana helps improve lung capacity,ardha chakrasana helps back spine muscles,46
1759,rajakapotasana,The cramps from menstrual cycle for women is cured. Improves any nervous imbalance as the entire spine is stretched.,Urninary disorders are treated.,cramps menstrual cycle women cured improves nervous imbalance entire spine stretched,urninary disorders treated,21
1760,pavanamuktasana,"Strengthens the core: This pose engages the core muscles, which can help to strengthen and tone the abdominal muscles.","stretches the lower back, hips, and thighs, improving overall flexibility.",strengthens core pose engages core muscles help strengthen tone abdominal muscles,stretches lower back hips thighs improving overall flexibility,20
1761,virasana,helps to relieve symptoms of gas and aids in digestion.,This pose with the flexing of the knees and the hips help in therapeutically curing rheumatic pains in the knees.,helps relieve symptoms gas aids digestion,pose flexing knees hips help therapeutically curing rheumatic pains knees,14
1762,supta vajrasana,can help to improve digestion and relieve constipation by massaging the abdominal organs.,"can help to open the chest and lungs, improving breathing capacity and promoting relaxation.",help improve digestion relieve constipation massaging abdominal organs,help open chest lungs improving breathing capacity promoting relaxation,29
1763,kati chakrasana,Stimulates digestion,Increases lung capacity,stimulates digestion,increases lung capacity,34
1764,ardha katicakrasana,"Strengthens the muscles of the back, hips, and legs.","Improves flexibility of the spine, hips, and legs.",strengthens muscles back hips legs,improves flexibility spine hips legs,33
1765,shashankasana,It tones the pelvic muscles and relieves sciatic pain.,It tones the pelvic muscles and the sciatic nerves and is beneficial for women who have an underdeveloped pelvis.,tones pelvic muscles relieves sciatic pain,tones pelvic muscles sciatic nerves beneficial women underdeveloped pelvis,3
1766,pada hastasana,Inverting the trunk increases the blood flow to the brain and improves circulation to the pituitary and thyroid glands.,Stretches the chest and shoulders,inverting trunk increases blood flow brain improves circulation pituitary thyroid glands,stretches chest shoulders,22
1767,trikonasana,helps diabetes.,Improves balance and stability: The pose helps to improve balance and stability by encouraging proper alignment of the feet and legs.,helps diabetes,improves balance stability pose helps improve balance stability encouraging proper alignment feet legs,27
1768,ardha ushtrasana,"It stretches and stimulates the respiratory organs and helps in conditions like Asthma, branchitis , and other respiratory disorders.","This asana is beneficial for the digestive and reproductive systems. It stretches the stomach and intestines, alleviating constipation.",stretches stimulates respiratory organs helps conditions like asthma branchitis respiratory disorders,asana beneficial digestive reproductive systems stretches stomach intestines alleviating constipation,24
1769,supta trivikramasana,"strengthen the hips, the pelvis, and the hip girdle.","Supine Splits Pose is believed to activate the Svadisthana (sacral) chakras. Svadisthana is associates with creativity, sexuality, joy, and pleasure also.",strengthen hips pelvis hip girdle,supine splits pose believed activate svadisthana sacral chakras svadisthana associates creativity sexuality joy pleasure also,39
1770,parighasana,Alignment and Posture is improved,helps stimulate the internal organs with the stretching and contracting of the deeper muscles.,alignment posture improved,helps stimulate internal organs stretching contracting deeper muscles,31
1771,bharadvajasana,"can stimulate the digestive system and help to relieve digestive issues such as bloating, constipation, and indigestion.","Bharadvajasana can stimulate the internal organs, including the liver, kidneys, and pancreas, which can be beneficial for overall health and wellbeing.",stimulate digestive system help relieve digestive issues bloating constipation indigestion,bharadvajasana stimulate internal organs including liver kidneys pancreas beneficial overall health wellbeing,9
1772,phalakasana,"The core, abdominal muscles, are used to the maximum here and hence they get toned and give a great shape to the body.",As the entire body is stretched it improves the spine and gives a great looking posture to the body.,core abdominal muscles used maximum hence get toned give great shape body,entire body stretched improves spine gives great looking posture body,41
1773,ushtrasana,"Camel Pose stretches the anterior body (the chest, abdomen, and quadriceps, and the psoas muscles).","Ustrasana works subtly but effectively to improve the digestive, respiratory, endocrine, lymphatic, skeletal, and circulatory systems",camel pose stretches anterior body chest abdomen quadriceps psoas muscles,ustrasana works subtly effectively improve digestive respiratory endocrine lymphatic skeletal circulatory systems,6
1774,setu bandhasana,"very effective for Core strengthening and hence can be practised by athletes, runners, postnatal women and teens","Strengthens the legs, glutes, and core: Setu Bandhasana engages the leg and glute muscles, as well as the core, helping to strengthen and tone these areas.",effective core strengthening hence practised athletes runners postnatal women teens,strengthens legs glutes core setu bandhasana engages leg glute muscles well core helping strengthen tone areas,18
1775,adho mukha svanasana,it enhances the functions of the Nervous System. Hence it is good for stress and mental health related ailments.,It aids to reduce obesity and diabetes .,enhances functions nervous system hence good stress mental health related ailments,aids reduce obesity diabetes,7
1776,paschimottanasana,can help to reduce fatigue and improve energy levels.,Stretches the hamstrings,help reduce fatigue improve energy levels,stretches hamstrings,40
1777,vajrasana,It is the best meditation asana for people suffering from sciatica.,"It increases the blood circulation in the abdominal area, with the special fold of the legs creating a bandha.",best meditation asana people suffering sciatica,increases blood circulation abdominal area special fold legs creating bandha,12
1778,phalakasana,As the entire body is stretched it improves the spine and gives a great looking posture to the body.,It helps in improving the general stamina of the body and therefore relieves stress and physical pain in the body.,entire body stretched improves spine gives great looking posture body,helps improving general stamina body therefore relieves stress physical pain body,41
1779,paschimottanasana,can help to calm the mind and reduce stress and anxiety.,The stretching and lengthening of the spine in this pose can help to improve posture and reduce back pain.,help calm mind reduce stress anxiety,stretching lengthening spine pose help improve posture reduce back pain,40
1780,purvottanasana,can be performed to ease heaviness around the lower abdomen during menstruation.,"This pose works on the entire body, right from the toes to the neck, giving room for a well toned body with the burning of fat around the thighs, hips, chest and abdomen.",performed ease heaviness around lower abdomen menstruation,pose works entire body right toes neck giving room well toned body burning fat around thighs hips chest abdomen,17
1781,anjaneyasana,"It may relieve sciatica and stretch the thighs, groins, chest, armpits, and shoulders.",Reproductive ailments in men like erectile dysfunction and infertility can be cured and it benefits prostate health too.,may relieve sciatica stretch thighs groins chest armpits shoulders,reproductive ailments men like erectile dysfunction infertility cured benefits prostate health,48
1782,vajrasana,"It stimulates the vajra nadi, activates prana in sushumna and redirects sexual energy for spiritual purposes.",The folding of the knees and the thighs stretches these muscles and improves blood circulation and improves flexibility.,stimulates vajra nadi activates prana sushumna redirects sexual energy spiritual purposes,folding knees thighs stretches muscles improves blood circulation improves flexibility,12
1783,anjaneyasana,It may help improve body posture.,It lengthens the spine by stretching it in a beautiful crescent shape.,may help improve body posture,lengthens spine stretching beautiful crescent shape,48
1784,sarvangasana,"Strengthens the upper body: Sarvangasana strengthens the shoulders, arms, and upper back, helping to improve overall upper body strength.",Stretches the entire spine Improves circulation of blood in the lower extremity Massages abdominal organs Stimulates the glandular systems,strengthens upper body sarvangasana strengthens shoulders arms upper back helping improve overall upper body strength,stretches entire spine improves circulation blood lower extremity massages abdominal organs stimulates glandular systems,13
1785,virabhadrasana,"reduces the stiffness. This reduction of stiffness also improves the energy levels of the body, thus making the body feel completely light.",The building of stamina and stability with awareness of the body brings in fresh energy to help reduce symptoms related to insomina.,reduces stiffness reduction stiffness also improves energy levels body thus making body feel completely light,building stamina stability awareness body brings fresh energy help reduce symptoms related insomina,45
1786,vajrasana,Strengthens the back and leg muscles.,Heals Body,strengthens back leg muscles,heals body,12
1787,trikonasana,Relieves stress and anxiety: Practicing Trikonasana can help to relieve stress and anxiety by calming the mind and reducing tension in the body.,It also strengthens the pelvic area and tones the reproductive organs. Regular practice will help to reduce waistline fat.,relieves stress anxiety practicing trikonasana help relieve stress anxiety calming mind reducing tension body,also strengthens pelvic area tones reproductive organs regular practice help reduce waistline fat,27
1788,prasarita padottanasana,can help to relieve tension and tightness in the back and neck muscles.,"Improves digestion: Prasarita Padottanasana can help to stimulate the digestive system and alleviate digestive issues such as constipation, bloating, and gas",help relieve tension tightness back neck muscles,improves digestion prasarita padottanasana help stimulate digestive system alleviate digestive issues constipation bloating gas,5
1789,prasarita padottanasana,reduces depression and boost your confidence level.,The Prasarita Padottanasana also harmonizes the abdominal muscles and also relieves headaches caused due to excessive stress.,reduces depression boost confidence level,prasarita padottanasana also harmonizes abdominal muscles also relieves headaches caused due excessive stress,5
1790,gomukhasana,"It relieves backache, sciatica, rheumatism and general stiffness in the shoulders and neck",It can remove stiff shoulders and backpain.,relieves backache sciatica rheumatism general stiffness shoulders neck,remove stiff shoulders backpain,10
1791,upavistha konasana,it also improves the digestive tract,Upavistha Konasana calms the mind and also gives relief from fatigue and stress.,also improves digestive tract,upavistha konasana calms mind also gives relief fatigue stress,26
1792,utkata konasana,It widens the uterus before pregnancy and helps during pregnancy.,Utkatasana tones the core muscles by tightening the abdominal muscles while holding the pose. Creating a tummy tuck while bringing the navel close to the spine tightens the abdominal muscles bringing strength and stimulating the digestive system.,widens uterus pregnancy helps pregnancy,utkatasana tones core muscles tightening abdominal muscles holding pose creating tummy tuck bringing navel close spine tightens abdominal muscles bringing strength stimulating digestive system,25
1793,ushtrasana,Stretches and opens the front of the body. It also strengthens the back and shoulders.,"stimulates the endocrine glands with abdominal stretching and alleviates diseases related to the ovaries, pineal glands, and testes. Etc",stretches opens front body also strengthens back shoulders,stimulates endocrine glands abdominal stretching alleviates diseases related ovaries pineal glands testes etc,6
1794,upavistha konasana,Core muscles in the lower abdomen are strengthened.,Upavistha Konasana calms the mind and also gives relief from fatigue and stress.,core muscles lower abdomen strengthened,upavistha konasana calms mind also gives relief fatigue stress,26
1795,ardha matsyendrasana,This pose massages the organs in the abdominal region. It improves digestion.,It activates the pancreas and helps to manage diabetes.,pose massages organs abdominal region improves digestion,activates pancreas helps manage diabetes,4
1796,rajakapotasana,The pelvic muscles are stretched and toned giving room for improved reproductive system.,The neck stretch giving room for balancing the thyroid glands.,pelvic muscles stretched toned giving room improved reproductive system,neck stretch giving room balancing thyroid glands,21
1797,ardha kapotasana,"The stretch at the entire abdominal muscles encourages a proper functioning of the internal organs, thus improving digestion too.",removes the excess fat with the gentle stretch of the abdomen and the lower back.,stretch entire abdominal muscles encourages proper functioning internal organs thus improving digestion,removes excess fat gentle stretch abdomen lower back,0
1798,pavanamuktasana,The toning of the lower body and the strengthening of the lower back combined with hip stability enhances the body posture.,"can be used to treat menstrual disorders, flatulence, constipation, infertility and impotence or diabetes. Flatulence is a buildup of gas in the digestive system that can lead to abdominal discomfort. Excessive flatulence can cause discomfort and distress. Many times, headaches and migraines are caused due to Vata dosha (gaseous formation in the body which is not passed out). This pose is good to treat such physical conditions.",toning lower body strengthening lower back combined hip stability enhances body posture,used treat menstrual disorders flatulence constipation infertility impotence diabetes flatulence buildup gas digestive system lead abdominal discomfort excessive flatulence cause discomfort distress many times headaches migraines caused due vata dosha gaseous formation body passed pose good treat physical conditions,20
1799,pada hastasana,It helps to eliminate excess belly fat.,Stretches the chest and shoulders,helps eliminate excess belly fat,stretches chest shoulders,22
1800,ardha matsyendrasana,"Regulates the digestive system, thus improving digestion and easing constipation","The Ardha Matsyendrasana pose calms your mind, helping alleviate stress, mild depression and anxiety.",regulates digestive system thus improving digestion easing constipation,ardha matsyendrasana pose calms mind helping alleviate stress mild depression anxiety,4
1801,vakrasana,Improves digestion by massaging the abdominal organs.,Tones the waist and abdomen.,improves digestion massaging abdominal organs,tones waist abdomen,36
1802,rajakapotasana,"the internal abdominal organs are hence stimulated. The digestive juices are secreted well giving room for good digestion, the pancreas, the liver and kidney are all massaged well thus improving the functioning of these organs.","Removes stress, fatigue and anxiety.",internal abdominal organs hence stimulated digestive juices secreted well giving room good digestion pancreas liver kidney massaged well thus improving functioning organs,removes stress fatigue anxiety,21
1803,rajakapotasana,"The Lower back, hip, thighs, psoas, abdomen, chest, shoulders, neck, hamstring, pelvic, and calves are toned. The toning of these muscles adds to the overall toning of the entire outer body.","the internal abdominal organs are hence stimulated. The digestive juices are secreted well giving room for good digestion, the pancreas, the liver and kidney are all massaged well thus improving the functioning of these organs.",lower back hip thighs psoas abdomen chest shoulders neck hamstring pelvic calves toned toning muscles adds overall toning entire outer body,internal abdominal organs hence stimulated digestive juices secreted well giving room good digestion pancreas liver kidney massaged well thus improving functioning organs,21
1804,gomukhasana,It helps in the treatment of sciatica.,"can help to stretch and open up the hips and thighs, which can be beneficial for those with tightness or discomfort in these areas.",helps treatment sciatica,help stretch open hips thighs beneficial tightness discomfort areas,10
1805,jathara parivartanasana,"Stretches and Strengthens the various muscles of the body like the shoulders and arms, hamstrings, gluteus maximus (buttocks), calves, chest, abdomen, and lower back muscles. ","helps to stimulate the other internal organs like liver, kidney, pancreas, stomach, etc. Hence a great supine pose to stimulate the internal organs.",stretches strengthens various muscles body like shoulders arms hamstrings gluteus maximus buttocks calves chest abdomen lower back muscles,helps stimulate internal organs like liver kidney pancreas stomach etc hence great supine pose stimulate internal organs,30
1806,naukasana,can help to increase spinal flexibility and mobility.,Helps in reducing nervous tension,help increase spinal flexibility mobility,helps reducing nervous tension,43
1807,paschimottanasana,The stretching and lengthening of the spine in this pose can help to improve posture and reduce back pain.,Increases the flexibility of the hip joints,stretching lengthening spine pose help improve posture reduce back pain,increases flexibility hip joints,40
1808,kurmasana,the spine is elongated in this posture improving the circulation of blood flow. The flow of prana through the spine to other parts of the body becomes smooth opening the blocks.,Reduces the stiffness around the lower back relieving back aches,spine elongated posture improving circulation blood flow flow prana spine parts body becomes smooth opening blocks,reduces stiffness around lower back relieving back aches,23
1809,vajrasana,Reduces acidity and bloating.,"It reduces the blood flow to the genitals and massages the nerve fibres which feed them, making it useful in dilated veins of the testicles and hydrocele in men.",reduces acidity bloating,reduces blood flow genitals massages nerve fibres feed making useful dilated veins testicles hydrocele men,12
1810,parighasana,"This posture gives a good lateral stretch to the pelvic region and trunk. It massages the abdominal muscles and organs, helping to prevent accumulation of fat and sagging skin around the abdomen.",it helps increase the functioning of the respiratory system.,posture gives good lateral stretch pelvic region trunk massages abdominal muscles organs helping prevent accumulation fat sagging skin around abdomen,helps increase functioning respiratory system,31
1811,virasana,helps to relieve symptoms of gas and aids in digestion.,Spine gets its maximum stretch,helps relieve symptoms gas aids digestion,spine gets maximum stretch,14
1812,vakrasana,Stimulates the nervous system and improves blood circulation.,Relieves stress and anxiety by calming the mind.,stimulates nervous system improves blood circulation,relieves stress anxiety calming mind,36
1813,ardha matsyendrasana,improves body posture and restore the digestive system.,"It tones the nerves of the spine, makes the back muscles supple, relieves lumbago and muscular spasms, and reduces the tendency of adjoining vertebrae to develop inflammatory problems and calcium deposits.",improves body posture restore digestive system,tones nerves spine makes back muscles supple relieves lumbago muscular spasms reduces tendency adjoining vertebrae develop inflammatory problems calcium deposits,4
1814,mayurasana,All the digestive organs are massaged and intestinal peristalsis is stimulated.,"Better and improved circulation of blood when you release from the pose, while also stimulating the internal organs and eliminating the toxins.",digestive organs massaged intestinal peristalsis stimulated,better improved circulation blood release pose also stimulating internal organs eliminating toxins,42
1815,utkata konasana,It widens the uterus before pregnancy and helps during pregnancy.,"The position of the hips in this pose, take the weight of the upper body and with practice, the muscles around the hips, gain strength giving it a strong look. ",widens uterus pregnancy helps pregnancy,position hips pose take weight upper body practice muscles around hips gain strength giving strong look,25
1816,bananasana,"By stretching the entire body, it makes it flexible to perform the daily chores. ","With the bending of the body in one direction the students can take the stretch and twist deeper, getting the best from the posture. ",stretching entire body makes flexible perform daily chores,bending body one direction students take stretch twist deeper getting best posture,19
1817,tadasana,helps diabetes.,"helps to strengthen and tone the muscles in the legs, hips, and back.",helps diabetes,helps strengthen tone muscles legs hips back,8
1818,virasana,helps in improving mental focus during pranayama and meditation.,"With the stretching of the ankles and the foot, proper arches will be formed thus curing flat feet.",helps improving mental focus pranayama meditation,stretching ankles foot proper arches formed thus curing flat feet,14
1819,vajrasana,"as the spine is elevated and away from the floor, the flow of blood is altered along with the nervous impulses in the pelvic region and pelvic muscles are strengthened.","mind and the body become stabilized, hence is recommended for pranayama and meditation which later improves concentration and memory.",spine elevated away floor flow blood altered along nervous impulses pelvic region pelvic muscles strengthened,mind body become stabilized hence recommended pranayama meditation later improves concentration memory,12
1820,vajrasana,Relieves knee and joint pain.,Helps in reducing stress and anxiety.,relieves knee joint pain,helps reducing stress anxiety,12
1821,jathara parivartanasana,"The muscles of the spine are strengthened improving in flexibility, and range of motion.","helps to stimulate the other internal organs like liver, kidney, pancreas, stomach, etc. Hence a great supine pose to stimulate the internal organs.",muscles spine strengthened improving flexibility range motion,helps stimulate internal organs like liver kidney pancreas stomach etc hence great supine pose stimulate internal organs,30
1822,bananasana,the complete side muscles of the body are stretched.,"With the bending of the body in one direction the students can take the stretch and twist deeper, getting the best from the posture. ",complete side muscles body stretched,bending body one direction students take stretch twist deeper getting best posture,19
1823,supta vajrasana,The nerves in the neck and the thyroid gland are particularly influenced.,"The chest is stretched and expanded to full capacity, filling the lungs and bringing more oxygen into the system. It is beneficial for those suffering from asthma, bronchitis and other lung ailments.",nerves neck thyroid gland particularly influenced,chest stretched expanded full capacity filling lungs bringing oxygen system beneficial suffering asthma bronchitis lung ailments,29
1824,ardha katicakrasana,"Strengthens the muscles of the back, hips, and legs.",Improves circulation and oxygenation of the body.,strengthens muscles back hips legs,improves circulation oxygenation body,33
1825,vajrasana,Helps in reducing stress and anxiety.,Improves blood circulation in the body.,helps reducing stress anxiety,improves blood circulation body,12
1826,matsyasana,This practice is very good for asthma and bronchitis as it encourages deep respiration.,This helps prevent and remove disorders of the reproductive system.,practice good asthma bronchitis encourages deep respiration,helps prevent remove disorders reproductive system,37
1827,mandukasana,Tones the Abdominal muscles,helps in toning the extra belly fat along with the fat around the thighs and hips.,tones abdominal muscles,helps toning extra belly fat along fat around thighs hips,16
1828,ushtrasana,Camel Pose(Ustrasana) is effective in detoxifying the body.,"The uterus is toned, and the urogenital system of the body is benefited.",camel poseustrasana effective detoxifying body,uterus toned urogenital system body benefited,6
1829,pada hastasana,helps diabetes.,can help to improve lung function and increase lung capacity.,helps diabetes,help improve lung function increase lung capacity,22
1830,dhanurasana,helps diabetes.,"The liver, abdominal organs and muscles are massaged.",helps diabetes,liver abdominal organs muscles massaged,28
1831,ardha katicakrasana,Improves circulation.,Improves circulation and oxygenation of the body.,improves circulation,improves circulation oxygenation body,33
1832,supta vajrasana,It loosens up the legs in preparation for sitting in meditation asanas. It redirects sexual energy to the brain for spiritual purposes.,can help to relieve back pain by stretching the spine and releasing tension in the lower back muscles.,loosens legs preparation sitting meditation asanas redirects sexual energy brain spiritual purposes,help relieve back pain stretching spine releasing tension lower back muscles,29
1833,padmasana,helps diabetes.,Facilitates mental and physical balance,helps diabetes,facilitates mental physical balance,1
1834,ardha matsyendrasana,Ardha matysendrasana tones the kidneys and improves secretion of the adrenal glands.,Aids in maintaining normal rotation of the spinal cord.,ardha matysendrasana tones kidneys improves secretion adrenal glands,aids maintaining normal rotation spinal cord,4
1835,upavistha konasana,Core muscles in the lower abdomen are strengthened.,"It also improves flexibility in the legs, shoulders, hands, neck, arms, spine and increases energy.",core muscles lower abdomen strengthened,also improves flexibility legs shoulders hands neck arms spine increases energy,26
1836,upavistha konasana,It loosens up the lower back and hips. Those with stiff back can benefit by practicing this pose daily.,Upavistha Konasana also provides relief for those suffering from sciatica and arthritis.,loosens lower back hips stiff back benefit practicing pose daily,upavistha konasana also provides relief suffering sciatica arthritis,26
1837,virabhadrasana,"Energizing, De-stressing, Relaxing",The building of stamina and stability with awareness of the body brings in fresh energy to help reduce symptoms related to insomina.,energizing destressing relaxing,building stamina stability awareness body brings fresh energy help reduce symptoms related insomina,45
1838,ardha chakrasan,Ardha Chakrasana is extremely effective at reducing thigh and stomach fat.,Ardha Chakrasana helps back and spine muscles,ardha chakrasana extremely effective reducing thigh stomach fat,ardha chakrasana helps back spine muscles,46
1839,ardha katicakrasana,Stimulates digestion.,Improves diabetes,stimulates digestion,improves diabetes,33
1840,vajrasana,"mind and the body become stabilized, hence is recommended for pranayama and meditation which later improves concentration and memory.","It increases the blood circulation in the abdominal area, with the special fold of the legs creating a bandha.",mind body become stabilized hence recommended pranayama meditation later improves concentration memory,increases blood circulation abdominal area special fold legs creating bandha,12
1841,kurmasana,Activates the abdominal organs improving digestion,"the muscles around the upper back, the lower back, the neck and the head, contract, slowly improving the flexibility of the spine. ",activates abdominal organs improving digestion,muscles around upper back lower back neck head contract slowly improving flexibility spine,23
1842,dhanurasana,"can help to stretch and open up the entire body, including the chest, shoulders, abdomen, thighs, and hips.","improved functioning of the digestive, excretory and reproductive organs and helps to remove gastrointestinal disorders, dyspepsia, chronic constipation and sluggishness of the liver.",help stretch open entire body including chest shoulders abdomen thighs hips,improved functioning digestive excretory reproductive organs helps remove gastrointestinal disorders dyspepsia chronic constipation sluggishness liver,28
1843,utkata konasana,It builds strength and stability within the lower body and a strong base for the hips and spine.,"The entire upper body, shoulders, chest, spine, neck, middle and upper back get stretched in this pose, while the lower body gets strong.",builds strength stability within lower body strong base hips spine,entire upper body shoulders chest spine neck middle upper back get stretched pose lower body gets strong,25
1844,ardha kapotasana,"The endocrine system which includes the pineal gland, pituitary gland, thyroid gland, adrenal gland and pancreas, gets stimulated with the deep stretch at the head, neck, chest and abdomen.",A great pose for toning the hips and sides of the back,endocrine system includes pineal gland pituitary gland thyroid gland adrenal gland pancreas gets stimulated deep stretch head neck chest abdomen,great pose toning hips sides back,0
1845,ushtrasana,Stretches and opens the front of the body. It also strengthens the back and shoulders.,"The chest cavity is enhanced, and this results in cardiovascular fitness.",stretches opens front body also strengthens back shoulders,chest cavity enhanced results cardiovascular fitness,6
1846,virasana,This pose with the flexing of the knees and the hips help in therapeutically curing rheumatic pains in the knees.,Curing flat feet,pose flexing knees hips help therapeutically curing rheumatic pains knees,curing flat feet,14
1847,utkata konasana,Breathing is more pronounced with the shoulders and arms opened up.,"can help to focus on the body and the breathing process, thus building awareness.",breathing pronounced shoulders arms opened,help focus body breathing process thus building awareness,25
1848,mayurasana,"In particular, the toxins accumulated in the body are burnt, bringing the three doshas : vata, wind, kapha, phlegm, and pitta, bile, into balance and harmony.",It builds deeper awareness of the body encouraging more stability and calmness.,particular toxins accumulated body burnt bringing three doshas vata wind kapha phlegm pitta bile balance harmony,builds deeper awareness body encouraging stability calmness,42
1849,mayurasana,"The pressing of the belly and abdominal muscles against the elbows gives a gentle massage to the internal organs, while also improving the functioning of the internal organs including the stomach for better digestion.","Increases the metabolism in the body, and helps to keep stress and depression away.",pressing belly abdominal muscles elbows gives gentle massage internal organs also improving functioning internal organs including stomach better digestion,increases metabolism body helps keep stress depression away,42
1850,sirshasana,Increases blood flow to the brain releasing toxins,Revitalizes the visceral organs,increases blood flow brain releasing toxins,revitalizes visceral organs,15
1851,shashankasana,It tones the pelvic muscles and relieves sciatic pain.,It also regulates the functioning of the adrenal glands.,tones pelvic muscles relieves sciatic pain,also regulates functioning adrenal glands,3
1852,pavanamuktasana,"Strengthens the core: This pose engages the core muscles, which can help to strengthen and tone the abdominal muscles.",It stabilizes the hips.,strengthens core pose engages core muscles help strengthen tone abdominal muscles,stabilizes hips,20
